date,open,close
2018-05-01,1,1
2018-04-30,0.997553,0.998919
2018-04-29,0.998866,0.998016
2018-04-28,1,0.999335
2018-04-27,1,1
2018-04-26,1,0.999614
2018-04-25,1.01,0.991809
2018-04-24,0.998974,1
2018-04-23,0.99513,0.997847
2018-04-22,1,0.996196
2018-04-21,0.997071,0.999014
2018-04-20,0.99755,0.998338
2018-04-19,0.997907,0.997185
2018-04-18,1,0.997609
2018-04-17,0.997217,0.998556
2018-04-16,0.998884,0.997592
2018-04-15,0.996308,0.998602
2018-04-14,1,0.999766
2018-04-13,0.995839,0.998895
2018-04-12,0.996408,0.996831
2018-04-11,0.997593,1
2018-04-10,0.996953,0.997356
2018-04-09,0.997541,0.997555
2018-04-08,1,0.996809
2018-04-07,1,0.999644
2018-04-06,1,1
2018-04-05,1,1
2018-04-04,1,1
2018-04-03,0.997587,1
2018-04-02,1,1
2018-04-01,0.995702,0.99981
2018-03-31,0.997014,1
2018-03-30,0.995897,0.998943
2018-03-29,1,0.998623
2018-03-28,1,0.999204
2018-03-27,1,1
2018-03-26,0.9966,1
2018-03-25,1,0.999686
2018-03-24,1,1.01
2018-03-23,0.999221,0.990235
2018-03-22,0.99946,0.998982
2018-03-21,0.996938,0.999244
2018-03-20,1.01,0.996832
2018-03-19,0.982194,0.989867
2018-03-18,1.01,1
2018-03-17,1,1
2018-03-16,0.997509,0.998551
2018-03-15,1,1
2018-03-14,0.996581,1
2018-03-13,1,0.999843
2018-03-12,1,1
2018-03-11,1,1
2018-03-10,0.997607,1.01
2018-03-09,0.999723,1
2018-03-08,1,1.01
2018-03-07,0.998354,1
2018-03-06,1.01,1
2018-03-05,0.997521,0.998864
2018-03-04,1,0.997612
2018-03-03,0.995248,1
2018-03-02,0.998189,0.99973
2018-03-01,0.999847,1
2018-02-28,1,0.998903
2018-02-27,0.998677,1
2018-02-26,0.997664,0.999561
2018-02-25,1,1
2018-02-24,1,1
2018-02-23,1.01,1
2018-02-22,1,1
2018-02-21,1.01,1
2018-02-20,1,1
2018-02-19,1,1
2018-02-18,1,1.01
2018-02-17,1,1
2018-02-16,1.01,1
2018-02-15,1.01,1.01
2018-02-14,0.997715,1
2018-02-13,1,1
2018-02-12,1,1
2018-02-11,1,0.999251
2018-02-10,1,1
2018-02-09,1.02,1
2018-02-08,0.99497,1.02
2018-02-07,1,1
2018-02-06,0.9785,1.01
2018-02-05,0.995794,0.996308
2018-02-04,1,1.01
2018-02-03,0.994071,1
2018-02-02,0.986294,0.990747
2018-02-01,0.991558,0.986939
2018-01-31,0.992538,0.990274
2018-01-30,0.998672,0.986486
2018-01-29,0.98844,0.995319
2018-01-28,0.996548,0.98879
2018-01-27,1,0.993325
2018-01-26,0.997571,1
2018-01-25,1.01,0.999595
2018-01-24,1,0.997484
2018-01-23,1,1.01
2018-01-22,1,1.01
2018-01-21,1,0.999861
2018-01-20,1.01,1
2018-01-19,1.02,1
2018-01-18,1.02,1.02
2018-01-17,1.03,1.01
2018-01-16,1.01,1.03
2018-01-15,1.02,1.01
2018-01-14,1,1.02
2018-01-13,1,1
2018-01-12,1.01,1.01
2018-01-11,0.999976,1
2018-01-10,1.01,1
2018-01-09,1.01,1.01
2018-01-08,1.01,1.01
2018-01-07,1.01,1
2018-01-06,1,1.01
2018-01-05,1,0.998634
2018-01-04,1.01,1
2018-01-03,1.01,1.01
2018-01-02,1.01,1
2018-01-01,1.01,1.01
2017-12-31,1.02,1.01
2017-12-30,1.01,1.02
2017-12-29,1.01,1.01
2017-12-28,1,1.01
2017-12-27,1,1
2017-12-26,1.01,1
2017-12-25,1.03,1.01
2017-12-24,1.05,1.02
2017-12-23,1.01,1.05
2017-12-22,1.01,1.02
2017-12-21,1,1.01
2017-12-20,1.01,1
2017-12-19,1.01,1.01
2017-12-18,1.01,1.01
2017-12-17,1.01,1.01
2017-12-16,1.02,1.01
2017-12-15,1.01,1.02
2017-12-14,1.03,1.01
2017-12-13,1.08,1.03
2017-12-12,1.02,1.08
2017-12-11,1.01,1.02
2017-12-10,1.02,1.02
2017-12-09,1.02,1.02
2017-12-08,1.04,1.02
2017-12-07,1.01,1.03
2017-12-06,0.99976,1.01
2017-12-05,1,1
2017-12-04,1,1
2017-12-03,1,1
2017-12-02,1.01,0.999654
2017-12-01,1.01,1.01
2017-11-30,1,1.01
2017-11-29,1,0.990606
2017-11-28,1,1
2017-11-27,1.01,1
2017-11-26,1,1.01
2017-11-25,1,1.01
2017-11-24,1,1
2017-11-23,0.998658,0.994631
2017-11-22,0.997427,1
2017-11-21,1,0.996047
2017-11-20,1,1
2017-11-19,1,1
2017-11-18,1,1
2017-11-17,0.995758,1
2017-11-16,1.01,1
2017-11-15,1,1
2017-11-14,1.01,1.01
2017-11-13,1,1.01
2017-11-12,1.01,1.01
2017-11-11,1.01,1.01
2017-11-10,1.01,1.01
2017-11-09,1.01,1.01
2017-11-08,1,1.01
2017-11-07,0.999882,1.01
2017-11-06,1,1
