date,Adj open,Adj close,,,open,close
2018-12-27,0.120487,0.110486,,1000,120.487,110.486
2018-12-26,0.121735,0.120607,,1000,121.735,120.607
2018-12-25,0.133123,0.121682,,1000,133.123,121.682
2018-12-24,0.126668,0.13252,,1000,126.668,132.52
2018-12-23,0.123208,0.126585,,1000,123.208,126.585
2018-12-22,0.119997,0.12275,,1000,119.997,122.75
2018-12-21,0.126179,0.119916,,1000,126.179,119.916
2018-12-20,0.113865,0.12655,,1000,113.865,126.55
2018-12-19,0.114731,0.114245,,1000,114.731,114.245
2018-12-18,0.109671,0.11433,,1000,109.671,114.33
2018-12-17,0.09649,0.109693,,1000,96.49,109.693
2018-12-16,0.09547,0.096278,,1000,95.47,96.278
2018-12-15,0.097867,0.095439,,1000,97.867,95.439
2018-12-14,0.105656,0.09774,,1000,105.656,97.74
2018-12-13,0.113754,0.1058,,1000,113.754,105.8
2018-12-12,0.112664,0.11369,,1000,112.664,113.69
2018-12-11,0.118017,0.112835,,1000,118.017,112.835
2018-12-10,0.124218,0.118253,,1000,124.218,118.253
2018-12-09,0.1186,0.124328,,1000,118.6,124.328
2018-12-08,0.115391,0.118993,,1000,115.391,118.993
2018-12-07,0.119471,0.115263,,1000,119.471,115.263
2018-12-06,0.135591,0.119594,,1000,135.591,119.594
2018-12-05,0.147821,0.135936,,1000,147.821,135.936
2018-12-04,0.149287,0.147653,,1000,149.287,147.653
2018-12-03,0.160679,0.149536,,1000,160.679,149.536
2018-12-02,0.165514,0.160301,,1000,165.514,160.301
2018-12-01,0.159088,0.166332,,1000,159.088,166.332
2018-11-30,0.164957,0.15863,,1000,164.957,158.63
2018-11-29,0.161831,0.16508,,1000,161.831,165.08
2018-11-28,0.144111,0.162237,,1000,144.111,162.237
2018-11-27,0.144355,0.144374,,1000,144.355,144.374
2018-11-26,0.159195,0.144795,,1000,159.195,144.795
2018-11-25,0.15543,0.159607,,1000,155.43,159.607
2018-11-24,0.181912,0.154205,,1000,181.912,154.205
2018-11-23,0.187441,0.181211,,1000,187.441,181.211
2018-11-22,0.203459,0.187797,,1000,203.459,187.797
2018-11-21,0.194015,0.203688,,1000,194.015,203.688
2018-11-20,0.224573,0.193193,,1000,224.573,193.193
2018-11-19,0.249614,0.224412,,1000,249.614,224.412
2018-11-18,0.244894,0.249758,,1000,244.894,249.758
2018-11-17,0.236753,0.244927,,1000,236.753,244.927
2018-11-16,0.240067,0.23885,,1000,240.067,238.85
2018-11-15,0.233055,0.241944,,1000,233.055,241.944
2018-11-14,0.256955,0.233043,,1000,256.955,233.043
2018-11-13,0.267548,0.257787,,1000,267.548,257.787
2018-11-12,0.274039,0.267326,,1000,274.039,267.326
2018-11-11,0.260383,0.273605,,1000,260.383,273.605
2018-11-10,0.255588,0.26123,,1000,255.588,261.23
2018-11-09,0.255711,0.255542,,1000,255.711,255.542
2018-11-08,0.256527,0.256043,,1000,256.527,256.043
2018-11-07,0.265875,0.256718,,1000,265.875,256.718
2018-11-06,0.246849,0.265596,,1000,246.849,265.596
2018-11-05,0.240807,0.246529,,1000,240.807,246.529
2018-11-04,0.235788,0.241638,,1000,235.788,241.638
2018-11-03,0.234098,0.235706,,1000,234.098,235.706
2018-11-02,0.223014,0.234244,,1000,223.014,234.244
2018-11-01,0.22436,0.222945,,1000,224.36,222.945
2018-10-31,0.226218,0.223471,,1000,226.218,223.471
2018-10-30,0.2222,0.225093,,1000,222.2,225.093
2018-10-29,0.231678,0.222357,,1000,231.678,222.357
2018-10-28,0.229188,0.232871,,1000,229.188,232.871
2018-10-27,0.233858,0.22876,,1000,233.858,228.76
2018-10-26,0.235332,0.234011,,1000,235.332,234.011
2018-10-25,0.237535,0.235646,,1000,237.535,235.646
2018-10-24,0.241749,0.23776,,1000,241.749,237.76
2018-10-23,0.242491,0.242215,,1000,242.491,242.215
2018-10-22,0.240374,0.242361,,1000,240.374,242.361
2018-10-21,0.243722,0.241724,,1000,243.722,241.724
2018-10-20,0.245219,0.244182,,1000,245.219,244.182
2018-10-19,0.238869,0.242853,,1000,238.869,242.853
2018-10-18,0.240969,0.239452,,1000,240.969,239.452
2018-10-17,0.229563,0.240403,,1000,229.563,240.403
2018-10-16,0.222475,0.227978,,1000,222.475,227.978
2018-10-15,0.209662,0.223001,,1000,209.662,223.001
2018-10-14,0.214765,0.210144,,1000,214.765,210.144
2018-10-13,0.215589,0.21481,,1000,215.589,214.81
2018-10-12,0.206477,0.216032,,1000,206.477,216.032
2018-10-11,0.240941,0.207037,,1000,240.941,207.037
2018-10-10,0.243664,0.241593,,1000,243.664,241.593
2018-10-09,0.249569,0.243915,,1000,249.569,243.915
2018-10-08,0.243991,0.249009,,1000,243.991,249.009
2018-10-07,0.242372,0.245138,,1000,242.372,245.138
2018-10-06,0.245137,0.239771,,1000,245.137,239.771
2018-10-05,0.2435,0.245192,,1000,243.5,245.192
2018-10-04,0.240654,0.244278,,1000,240.654,244.278
2018-10-03,0.247934,0.241136,,1000,247.934,241.136
2018-10-02,0.258257,0.248286,,1000,258.257,248.286
2018-10-01,0.259081,0.258404,,1000,259.081,258.404
2018-09-30,0.254448,0.259599,,1000,254.448,259.599
2018-09-29,0.252453,0.253908,,1000,252.453,253.908
2018-09-28,0.259997,0.254127,,1000,259.997,254.127
2018-09-27,0.243985,0.259216,,1000,243.985,259.216
2018-09-26,0.250619,0.244767,,1000,250.619,244.767
2018-09-25,0.258395,0.252306,,1000,258.395,252.306
2018-09-24,0.279833,0.259048,,1000,279.833,259.048
2018-09-23,0.239433,0.281478,,1000,239.433,281.478
2018-09-22,0.248064,0.239225,,1000,248.064,239.225
2018-09-21,0.233042,0.249211,,1000,233.042,249.211
2018-09-20,0.206568,0.231897,,1000,206.568,231.897
2018-09-19,0.207512,0.206563,,1000,207.512,206.563
2018-09-18,0.196495,0.208417,,1000,196.495,208.417
2018-09-17,0.206108,0.196827,,1000,206.108,196.827
2018-09-16,0.203086,0.20651,,1000,203.086,206.51
2018-09-15,0.201211,0.203202,,1000,201.211,203.202
2018-09-14,0.206978,0.201743,,1000,206.978,201.743
2018-09-13,0.197915,0.207806,,1000,197.915,207.806
2018-09-12,0.201214,0.198293,,1000,201.214,198.293
2018-09-11,0.19148,0.201071,,1000,191.48,201.071
2018-09-10,0.191119,0.190839,,1000,191.119,190.839
2018-09-09,0.194291,0.192781,,1000,194.291,192.781
2018-09-08,0.207994,0.194437,,1000,207.994,194.437
2018-09-07,0.206841,0.207662,,1000,206.841,207.662
2018-09-06,0.205908,0.207484,,1000,205.908,207.484
2018-09-05,0.231953,0.207437,,1000,231.953,207.437
2018-09-04,0.221801,0.231268,,1000,221.801,231.268
2018-09-03,0.224672,0.225325,,1000,224.672,225.325
2018-09-02,0.229713,0.224744,,1000,229.713,224.744
2018-09-01,0.222309,0.229722,,1000,222.309,229.722
2018-08-31,0.221804,0.222076,,1000,221.804,222.076
2018-08-30,0.226858,0.220902,,1000,226.858,220.902
2018-08-29,0.234244,0.226211,,1000,234.244,226.211
2018-08-28,0.224904,0.234745,,1000,224.904,234.745
2018-08-27,0.213918,0.225437,,1000,213.918,225.437
2018-08-26,0.223861,0.21484,,1000,223.861,214.84
2018-08-25,0.221346,0.217795,,1000,221.346,217.795
2018-08-24,0.214871,0.219806,,1000,214.871,219.806
2018-08-23,0.213642,0.222162,,1000,213.642,222.162
2018-08-22,0.219224,0.206896,,1000,219.224,206.896
2018-08-21,0.217877,0.214708,,1000,217.877,214.708
2018-08-20,0.23002,0.216457,,1000,230.02,216.457
2018-08-19,0.223625,0.222723,,1000,223.625,222.723
2018-08-18,0.239124,0.224235,,1000,239.124,224.235
2018-08-17,0.215555,0.23812,,1000,215.555,238.12
2018-08-16,0.215885,0.216032,,1000,215.885,216.032
2018-08-15,0.218285,0.216954,,1000,218.285,216.954
2018-08-14,0.222632,0.216706,,1000,222.632,216.706
2018-08-13,0.2234,0.223559,,1000,223.4,223.559
2018-08-12,0.218225,0.223601,,1000,218.225,223.601
2018-08-11,0.224944,0.217665,,1000,224.944,217.665
2018-08-10,0.221085,0.22543,,1000,221.085,225.43
2018-08-09,0.201653,0.221435,,1000,201.653,221.435
2018-08-08,0.230009,0.201351,,1000,230.009,201.351
2018-08-07,0.234099,0.230672,,1000,234.099,230.672
2018-08-06,0.245017,0.234705,,1000,245.017,234.705
2018-08-05,0.241105,0.244218,,1000,241.105,244.218
2018-08-04,0.257761,0.240724,,1000,257.761,240.724
2018-08-03,0.261763,0.258956,,1000,261.763,258.956
2018-08-02,0.276901,0.261192,,1000,276.901,261.192
2018-08-01,0.278127,0.276268,,1000,278.127,276.268
2018-07-31,0.295472,0.278009,,1000,295.472,278.009
2018-07-30,0.308645,0.295923,,1000,308.645,295.923
2018-07-29,0.316401,0.308399,,1000,316.401,308.399
2018-07-28,0.317788,0.315229,,1000,317.788,315.229
2018-07-27,0.308283,0.316882,,1000,308.283,316.882
2018-07-26,0.332303,0.309552,,1000,332.303,309.552
2018-07-25,0.297336,0.331706,,1000,297.336,331.706
2018-07-24,0.284922,0.301456,,1000,284.922,301.456
2018-07-23,0.283119,0.284384,,1000,283.119,284.384
2018-07-22,0.290739,0.283534,,1000,290.739,283.534
2018-07-21,0.27038,0.292259,,1000,270.38,292.259
2018-07-20,0.302421,0.271492,,1000,302.421,271.492
2018-07-19,0.296818,0.302513,,1000,296.818,302.513
2018-07-18,0.253249,0.2984,,1000,253.249,298.4
2018-07-17,0.238004,0.252967,,1000,238.004,252.967
2018-07-16,0.219478,0.237928,,1000,219.478,237.928
2018-07-15,0.208031,0.219871,,1000,208.031,219.871
2018-07-14,0.203789,0.207877,,1000,203.789,207.877
2018-07-13,0.185986,0.204272,,1000,185.986,204.272
2018-07-12,0.190298,0.185719,,1000,190.298,185.719
2018-07-11,0.191825,0.189504,,1000,191.825,189.504
2018-07-10,0.206595,0.191889,,1000,206.595,191.889
2018-07-09,0.210637,0.207929,,1000,210.637,207.929
2018-07-08,0.208953,0.209783,,1000,208.953,209.783
2018-07-07,0.206104,0.20845,,1000,206.104,208.45
2018-07-06,0.203001,0.206381,,1000,203.001,206.381
2018-07-05,0.210213,0.202978,,1000,210.213,202.978
2018-07-04,0.205776,0.209735,,1000,205.776,209.735
2018-07-03,0.211672,0.206315,,1000,211.672,206.315
2018-07-02,0.200196,0.213151,,1000,200.196,213.151
2018-07-01,0.19285,0.198573,,1000,192.85,198.573
2018-06-30,0.186915,0.193425,,1000,186.915,193.425
2018-06-29,0.179309,0.18671,,1000,179.309,186.71
2018-06-28,0.18875,0.178951,,1000,188.75,178.951
2018-06-27,0.184523,0.189633,,1000,184.523,189.633
2018-06-26,0.196489,0.186484,,1000,196.489,186.484
2018-06-25,0.193652,0.197753,,1000,193.652,197.753
2018-06-24,0.203188,0.193633,,1000,203.188,193.633
2018-06-23,0.20367,0.203515,,1000,203.67,203.515
2018-06-22,0.227657,0.203407,,1000,227.657,203.407
2018-06-21,0.232437,0.227997,,1000,232.437,227.997
2018-06-20,0.236379,0.232188,,1000,236.379,232.188
2018-06-19,0.233515,0.235309,,1000,233.515,235.309
2018-06-18,0.231517,0.234371,,1000,231.517,234.371
2018-06-17,0.233146,0.232105,,1000,233.146,232.105
2018-06-16,0.232527,0.234041,,1000,232.527,234.041
2018-06-15,0.241695,0.234242,,1000,241.695,234.242
2018-06-14,0.22189,0.242426,,1000,221.89,242.426
2018-06-13,0.232297,0.221691,,1000,232.297,221.691
2018-06-12,0.255286,0.231689,,1000,255.286,231.689
2018-06-11,0.247103,0.256482,,1000,247.103,256.482
2018-06-10,0.282765,0.247658,,1000,282.765,247.658
2018-06-09,0.287071,0.281894,,1000,287.071,281.894
2018-06-08,0.293776,0.287963,,1000,293.776,287.963
2018-06-07,0.297974,0.294206,,1000,297.974,294.206
2018-06-06,0.293325,0.298269,,1000,293.325,298.269
2018-06-05,0.292134,0.294313,,1000,292.134,294.313
2018-06-04,0.304636,0.292158,,1000,304.636,292.158
2018-06-03,0.298581,0.302912,,1000,298.581,302.912
2018-06-02,0.290961,0.298413,,1000,290.961,298.413
2018-06-01,0.296535,0.290022,,1000,296.535,290.022
2018-05-31,0.278473,0.296652,,1000,278.473,296.652
2018-05-30,0.283893,0.277747,,1000,283.893,277.747
2018-05-29,0.253952,0.282845,,1000,253.952,282.845
2018-05-28,0.276329,0.253582,,1000,276.329,253.582
2018-05-27,0.284194,0.276376,,1000,284.194,276.376
2018-05-26,0.288601,0.284695,,1000,288.601,284.695
2018-05-25,0.292986,0.288069,,1000,292.986,288.069
2018-05-24,0.279751,0.291338,,1000,279.751,291.338
2018-05-23,0.300583,0.280355,,1000,300.583,280.355
2018-05-22,0.318612,0.301084,,1000,318.612,301.084
2018-05-21,0.33296,0.318115,,1000,332.96,318.115
2018-05-20,0.317749,0.33281,,1000,317.749,332.81
2018-05-19,0.319639,0.317234,,1000,319.639,317.234
2018-05-18,0.313269,0.319488,,1000,313.269,319.488
2018-05-17,0.335431,0.313497,,1000,335.431,313.497
2018-05-16,0.346798,0.334677,,1000,346.798,334.677
2018-05-15,0.369699,0.348445,,1000,369.699,348.445
2018-05-14,0.376304,0.36968,,1000,376.304,369.68
2018-05-13,0.359814,0.375852,,1000,359.814,375.852
2018-05-12,0.314162,0.359937,,1000,314.162,359.937
2018-05-11,0.353429,0.314252,,1000,353.429,314.252
2018-05-10,0.377714,0.353962,,1000,377.714,353.962
2018-05-09,0.385144,0.37797,,1000,385.144,377.97
2018-05-08,0.396568,0.386371,,1000,396.568,386.371
2018-05-07,0.413665,0.395702,,1000,413.665,395.702
2018-05-06,0.430338,0.412944,,1000,430.338,412.944
2018-05-05,0.431216,0.430875,,1000,431.216,430.875
2018-05-04,0.438234,0.43114,,1000,438.234,431.14
2018-05-03,0.439016,0.437379,,1000,439.016,437.379
2018-05-02,0.439037,0.439227,,1000,439.037,439.227
2018-05-01,0.425853,0.439733,,1000,425.853,439.733
2018-04-30,0.458688,0.424659,,1000,458.688,424.659
2018-04-29,0.429945,0.458405,,1000,429.945,458.405
2018-04-28,0.390447,0.428918,,1000,390.447,428.918
2018-04-27,0.386439,0.391085,,1000,386.439,391.085
2018-04-26,0.341455,0.387556,,1000,341.455,387.556
2018-04-25,0.397897,0.339517,,1000,397.897,339.517
2018-04-24,0.372631,0.40067,,1000,372.631,400.67
2018-04-23,0.367921,0.372128,,1000,367.921,372.128
2018-04-22,0.375207,0.368139,,1000,375.207,368.139
2018-04-21,0.391513,0.375663,,1000,391.513,375.663
2018-04-20,0.366551,0.391165,,1000,366.551,391.165
2018-04-19,0.354726,0.36612,,1000,354.726,366.12
2018-04-18,0.300338,0.351544,,1000,300.338,351.544
2018-04-17,0.284747,0.300202,,1000,284.747,300.202
2018-04-16,0.290237,0.284156,,1000,290.237,284.156
2018-04-15,0.250979,0.290722,,1000,250.979,290.722
2018-04-14,0.245338,0.250668,,1000,245.338,250.668
2018-04-13,0.241112,0.24629,,1000,241.112,246.29
2018-04-12,0.211258,0.24212,,1000,211.258,242.12
2018-04-11,0.199526,0.212337,,1000,199.526,212.337
2018-04-10,0.197444,0.199344,,1000,197.444,199.344
2018-04-09,0.206718,0.197333,,1000,206.718,197.333
2018-04-08,0.201817,0.206377,,1000,201.817,206.377
2018-04-07,0.193547,0.201859,,1000,193.547,201.859
2018-04-06,0.197781,0.193317,,1000,197.781,193.317
2018-04-05,0.207124,0.19794,,1000,207.124,197.94
2018-04-04,0.233729,0.204108,,1000,233.729,204.108
2018-04-03,0.225992,0.235691,,1000,225.992,235.691
2018-04-02,0.207131,0.224878,,1000,207.131,224.878
2018-04-01,0.207723,0.206582,,1000,207.723,206.582
2018-03-31,0.189039,0.206778,,1000,189.039,206.778
2018-03-30,0.190582,0.188733,,1000,190.582,188.733
2018-03-29,0.219226,0.190819,,1000,219.226,190.819
2018-03-28,0.215889,0.219251,,1000,215.889,219.251
2018-03-27,0.228565,0.216033,,1000,228.565,216.033
2018-03-26,0.239258,0.228861,,1000,239.258,228.861
2018-03-25,0.233062,0.239952,,1000,233.062,239.952
2018-03-24,0.237745,0.235422,,1000,237.745,235.422
2018-03-23,0.242993,0.236147,,1000,242.993,236.147
2018-03-22,0.25517,0.243212,,1000,255.17,243.212
2018-03-21,0.27067,0.254636,,1000,270.67,254.636
2018-03-20,0.249992,0.267968,,1000,249.992,267.968
2018-03-19,0.222368,0.250226,,1000,222.368,250.226
2018-03-18,0.206409,0.220473,,1000,206.409,220.473
2018-03-17,0.230277,0.206731,,1000,230.277,206.731
2018-03-16,0.240988,0.229991,,1000,240.988,229.991
2018-03-15,0.248854,0.240655,,1000,248.854,240.655
2018-03-14,0.29185,0.248689,,1000,291.85,248.689
2018-03-13,0.290151,0.290193,,1000,290.151,290.193
2018-03-12,0.304301,0.291765,,1000,304.301,291.765
2018-03-11,0.291868,0.304217,,1000,291.868,304.217
2018-03-10,0.315618,0.292661,,1000,315.618,292.661
2018-03-09,0.311237,0.311859,,1000,311.237,311.859
2018-03-08,0.329847,0.311938,,1000,329.847,311.938
2018-03-07,0.337814,0.329103,,1000,337.814,329.103
2018-03-06,0.351753,0.337911,,1000,351.753,337.911
2018-03-05,0.363777,0.352031,,1000,363.777,352.031
2018-03-04,0.354031,0.36193,,1000,354.031,361.93
2018-03-03,0.319021,0.350168,,1000,319.021,350.168
2018-03-02,0.338691,0.320107,,1000,338.691,320.107
2018-03-01,0.334118,0.339314,,1000,334.118,339.314
2018-02-28,0.36041,0.333916,,1000,360.41,333.916
2018-02-27,0.364632,0.362051,,1000,364.632,362.051
2018-02-26,0.358687,0.364579,,1000,358.687,364.579
2018-02-25,0.354549,0.357302,,1000,354.549,357.302
2018-02-24,0.382687,0.355163,,1000,382.687,355.163
2018-02-23,0.364134,0.381985,,1000,364.134,381.985
2018-02-22,0.393891,0.366447,,1000,393.891,366.447
2018-02-21,0.399718,0.396765,,1000,399.718,396.765
2018-02-20,0.452845,0.402289,,1000,452.845,402.289
2018-02-19,0.450437,0.452932,,1000,450.437,452.932
2018-02-18,0.479855,0.450399,,1000,479.855,450.399
2018-02-17,0.455103,0.479075,,1000,455.103,479.075
2018-02-16,0.451796,0.455446,,1000,451.796,455.446
2018-02-15,0.452048,0.453556,,1000,452.048,453.556
